NombreTienda,EmpresaGestora,Website
App Store,Apple,https://www.apple.com/app-store/
Google Play Store ,Google Android,https://play.google.com/store/
App World,BlackBerry,
MarketPlace,WindowsPhone,https://www.microsoft.com/store/apps/windows
OVITienda,Nokia,
AppCatalog,HP,https://hpapps.ext.hp.com/#/
Appstore,Amazon,https://www.amazon.com/gp/mas/get/amazonapp
AppGallery,Huawei,https://appgallery.huawei.com/
MyApp,Tencent,https://webcdn.m.qq.com/webapp/
360 Mobile Assistant,Qihoo 360,https://www.360download.org/
GetJar,Sungy Mobile,https://www.getjar.com/
